library	add	sub	neg	mov	lc	ld	st	xor	and	or	not	eqc	ltc	spa	sps	jmp	gsp
freebsd_i386_libc.so	417	53	9	632	158	187	265	87	72	301	3	232	47	82	0	915	7
netbsd_amd64_libc.so	588	110	15	544	117	165	487	100	98	118	7	438	88	89	1	349	9
void_glibc_amd64_libc.so	770	125	22	745	194	221	842	166	205	187	6	120	98	211	3	3264	7
fedora43_i386_libc.so	691	110	18	622	357	214	358	152	306	220	4	466	81	240	1	1570	2
void_glibc_i386_libc.so	788	142	19	628	444	316	491	159	536	206	10	1098	105	210	0	1264	2
fedora43_amd64_libc.so	720	146	23	839	271	310	948	178	122	167	5	309	122	68	3	6832	6
slackware_i386_libc.so	649	119	16	556	294	271	259	121	534	159	5	628	92	222	2	470	2
openbsd_i386_libc.so	211	27	5	355	80	99	140	50	71	85	4	80	22	81	0	321	1
archlinux_amd64_libc.so	679	140	24	822	271	316	957	168	126	158	5	286	114	65	3	6764	6
void_musl_i386_libc.so	395	75	8	264	190	153	115	70	393	72	1	239	59	176	0	670	7
netbsd_i386_libc.so	532	125	26	722	217	240	313	159	318	269	5	1750	110	86	1	536	2
openbsd_amd64_libc.so	40	8	0	123	11	9	11	10	8	10	0	0	8	0	0	30	0
slackware_amd64_libc.so	725	98	13	676	207	267	882	146	176	161	3	94	71	232	6	1132	11
freebsd_amd64_libc.so	408	56	8	521	114	128	418	67	50	117	4	95	45	58	0	1066	0
debian_i386_libc.so	810	140	25	708	451	257	597	171	313	257	4	1242	102	233	1	1433	3
ubuntu_amd64_libc.so	615	114	19	775	252	261	809	134	122	156	7	70	90	35	3	5327	8
debian_amd64_libc.so	771	132	21	768	211	225	844	172	204	171	6	174	103	211	4	4033	7
void_musl_amd64_libc.so	607	107	13	370	322	62	185	67	157	97	1	265	98	263	1	1213	3
ubuntu_i386_libc.so	813	131	23	689	465	241	553	156	306	251	4	1201	105	231	2	1035	2
macos_amd64_libc	421	42	5	516	94	166	425	71	87	74	5	14	23	86	0	599	1
