library	add	sub	neg	mov	lc	ld	st	xor	and	or	not	eqc	ltc	spa	sps	jmp	gsp
freebsd_i386_libc.so	500	68	9	722	195	220	295	99	87	366	3	304	59	82	0	1202	9
netbsd_amd64_libc.so	699	115	15	608	151	184	513	105	108	153	7	447	92	89	1	507	10
void_glibc_amd64_libc.so	844	129	22	797	217	256	920	169	231	219	6	127	102	212	3	3497	7
fedora43_i386_libc.so	804	117	18	710	382	236	400	164	341	276	4	501	86	240	1	1794	2
void_glibc_i386_libc.so	900	167	19	693	475	345	519	177	639	245	10	1314	128	211	1	1511	2
fedora43_amd64_libc.so	794	152	23	912	290	351	1049	178	136	182	5	325	128	68	3	7348	6
slackware_i386_libc.so	740	152	16	617	333	297	288	148	644	183	5	876	124	222	2	612	2
openbsd_i386_libc.so	227	30	5	366	82	109	146	51	73	93	4	92	25	81	0	360	1
archlinux_amd64_libc.so	756	145	24	882	291	356	1053	168	139	170	5	302	119	65	3	7265	6
void_musl_i386_libc.so	467	86	8	288	198	165	124	78	464	84	1	275	69	176	0	689	7
netbsd_i386_libc.so	641	134	26	786	268	262	352	173	440	309	5	1864	117	87	1	852	4
openbsd_amd64_libc.so	54	8	0	130	21	10	13	11	10	20	0	0	8	0	0	30	0
slackware_amd64_libc.so	795	109	13	718	228	301	943	147	196	189	3	108	82	232	6	1452	11
freebsd_amd64_libc.so	474	63	8	575	145	148	500	74	59	127	4	109	52	58	0	1594	0
debian_i386_libc.so	917	158	25	750	478	286	634	181	352	306	4	1425	116	233	1	1593	3
ubuntu_amd64_libc.so	690	118	19	873	269	300	885	134	142	179	7	72	94	35	3	6015	9
debian_amd64_libc.so	848	140	21	832	235	259	926	176	232	204	6	196	111	212	4	4772	7
void_musl_amd64_libc.so	698	112	13	407	388	67	195	73	178	108	1	269	102	263	1	1463	3
ubuntu_i386_libc.so	910	146	23	781	491	269	589	170	354	295	4	1370	118	231	2	1119	2
macos_amd64_libc	529	48	5	571	123	194	453	78	95	84	5	17	29	86	0	822	1
