library	arch	chain	found	seconds	extract_seconds	status
libc_debian_aarch64.so	AArch64 (ARM64)	mprotect_aarch64.txt	False	2.8968	3.4758	not-found
libc_debian_aarch64.so	AArch64 (ARM64)	syscall_exec_aarch64.txt	False	3.662	3.4758	not-found
libc_debian_amd64.so	x86-64	mprotect_amd64.txt	True	0.3522	3.9201	found
libc_debian_amd64.so	x86-64	syscall_exec_amd64.txt	True	0.9446	3.9201	found
libc_debian_amd64.so	x86-64	turing_amd64.txt	False	1.7408	3.9201	not-found
libc_debian_riscv.so	RISC-V RV64 (compressed)	mprotect_riscv.txt	False	3.2641	3.3751	not-found
libc_debian_riscv.so	RISC-V RV64 (compressed)	syscall_exec_riscv.txt	False	4.7598	3.3751	not-found
libc_debian_x86.so	x86	mprotect_x86.txt	True	0.3338	4.7375	found
libc_debian_x86.so	x86	syscall_exec_x86.txt	True	1.3761	4.7375	found
libmergedlo_debian_aarch64.so	AArch64 (ARM64)	mprotect_aarch64.txt	False	140.1376	121.1562	not-found
libmergedlo_debian_aarch64.so	AArch64 (ARM64)	syscall_exec_aarch64.txt	False	141.1054	121.1562	not-found
libmergedlo_debian_amd64.so	x86-64	mprotect_amd64.txt	True	1.4347	86.9915	found
libmergedlo_debian_amd64.so	x86-64	syscall_exec_amd64.txt	True	3.4585	86.9915	found
libmergedlo_debian_amd64.so	x86-64	turing_amd64.txt	True	6.2068	86.9915	found
libmergedlo_debian_riscv.so	RISC-V RV64 (compressed)	mprotect_riscv.txt	False	148.85	143.1993	not-found
libmergedlo_debian_riscv.so	RISC-V RV64 (compressed)	syscall_exec_riscv.txt	False	151.1699	143.1993	not-found
zlib1g_aarch64_libz.so.1	AArch64 (ARM64)	mprotect_aarch64.txt	False	0.3965	0.2146	not-found
zlib1g_aarch64_libz.so.1	AArch64 (ARM64)	syscall_exec_aarch64.txt	False	0.8111	0.2146	not-found
zlib1g_amd64_libz.so.1	x86-64	mprotect_amd64.txt	False	2.5723	0.1387	not-found
zlib1g_amd64_libz.so.1	x86-64	syscall_exec_amd64.txt	False	2.9436	0.1387	not-found
zlib1g_amd64_libz.so.1	x86-64	turing_amd64.txt	False	1.0684	0.1387	not-found
zlib1g_riscv_libz.so.1	RISC-V RV64 (compressed)	mprotect_riscv.txt	False	0.5848	0.2103	not-found
zlib1g_riscv_libz.so.1	RISC-V RV64 (compressed)	syscall_exec_riscv.txt	False	0.6899	0.2103	not-found
zlib1g_x86_libz.so.1	x86	mprotect_x86.txt	False	0.237	0.1901	not-found
zlib1g_x86_libz.so.1	x86	syscall_exec_x86.txt	False	0.8001	0.1901	not-found
