library	arch	add	sub	neg	mov	lc	ld	st	xor	and	or	not	eqc	ltc	spa	sps	jmp	gsp
ws2_32_aarch64.dll	AArch64 (ARM64)	70	3	0	33	34	48	15	0	0	3	0	0	3	56	3	56	0
ws2_32_x86.dll	x86	26	3	3	101	113	12	53	22	5	10	0	2	3	12	0	22	0
oleaut32_x86.dll	x86	54	11	2	159	137	22	94	43	5	13	0	5	11	11	0	67	0
oleaut32_aarch64.dll	AArch64 (ARM64)	113	7	0	40	47	92	108	0	0	3	0	0	7	29	3	30	0
combase_aarch64.dll	AArch64 (ARM64)	296	8	0	155	82	291	351	2	0	4	0	0	8	94	3	95	0
shell32_x86.dll	x86	328	51	8	894	791	87	681	115	59	89	3	176	51	33	2	3464	5
shlwapi_aarch64.dll	AArch64 (ARM64)	45	5	0	41	28	31	67	0	0	3	0	0	5	17	3	17	0
ntdll_x86.dll	x86	168	34	3	302	284	61	227	66	36	49	3	24	34	63	1	367	1
msvcrt_aarch64.dll	AArch64 (ARM64)	51	8	0	63	51	75	65	2	3	1	1	0	8	22	1	22	0
kernel32_amd64.dll	x86-64	95	1	0	49	187	27	29	0	1	1	0	0	1	208	0	257	0
win32u_aarch64.dll	AArch64 (ARM64)	3	0	0	6	0	1	0	0	0	0	0	0	0	2	0	2	0
gdi32_x86.dll	x86	10	1	0	35	50	6	13	13	1	22	0	0	1	5	0	11	0
kernel32_aarch64.dll	AArch64 (ARM64)	60	5	0	48	61	87	42	1	0	0	2	0	5	53	2	53	0
gdi32_aarch64.dll	AArch64 (ARM64)	10	0	0	16	11	11	6	0	0	0	1	0	0	6	0	6	0
shlwapi_x86.dll	x86	19	1	0	84	91	4	66	19	8	15	0	0	1	2	0	32	0
msvcrt_x86.dll	x86	258	23	5	252	274	87	130	44	22	57	1	54	23	130	0	372	0
gdi32full_amd64.dll	x86-64	100	2	1	40	228	31	33	0	1	0	0	0	2	210	0	222	0
rpcrt4_amd64.dll	x86-64	109	0	0	52	264	50	100	0	1	1	0	0	0	224	0	290	0
ucrtbase_amd64.dll	x86-64	118	2	2	70	257	41	100	4	8	5	0	1	2	219	0	426	0
ole32_aarch64.dll	AArch64 (ARM64)	252	6	0	83	60	126	152	0	0	3	0	0	6	49	3	49	0
sechost_aarch64.dll	AArch64 (ARM64)	58	2	0	49	38	59	75	0	0	0	2	0	2	39	1	39	0
sechost_amd64.dll	x86-64	89	2	0	49	187	29	51	2	0	1	0	0	2	178	0	184	0
advapi32_x86.dll	x86	32	0	3	91	103	8	59	26	7	14	0	0	0	6	0	26	0
combase_x86.dll	x86	141	20	3	423	289	77	349	87	150	74	0	27	20	35	1	673	3
combase_amd64.dll	x86-64	171	1	0	88	323	83	234	3	6	1	0	0	1	385	1	679	0
msvcrt_amd64.dll	x86-64	79	2	5	49	174	27	23	1	3	2	0	0	2	157	0	220	0
oleaut32_amd64.dll	x86-64	89	4	0	43	194	26	79	3	2	0	0	0	4	189	0	221	0
user32_aarch64.dll	AArch64 (ARM64)	63	6	0	70	45	95	47	0	2	2	1	0	6	53	4	53	0
shell32_amd64.dll	x86-64	278	2	1	116	437	65	322	5	5	3	0	0	2	648	0	1800	0
gdi32full_x86.dll	x86	42	10	6	121	152	17	90	40	7	17	0	28	10	8	1	57	0
ole32_amd64.dll	x86-64	121	2	0	59	196	29	110	0	3	0	0	0	2	275	0	310	0
ucrtbase_x86.dll	x86	253	33	6	387	355	96	209	70	47	80	0	57	33	91	0	609	2
rpcrt4_x86.dll	x86	55	3	5	163	161	73	163	31	5	15	0	8	3	7	0	111	2
ntdll_amd64.dll	x86-64	199	7	7	74	394	65	130	5	15	2	1	6	7	422	0	560	0
kernel32_x86.dll	x86	53	2	1	92	109	22	70	25	12	13	1	1	2	15	0	29	1
ucrtbase_aarch64.dll	AArch64 (ARM64)	102	13	0	107	62	102	119	4	1	5	0	0	13	26	3	26	0
shlwapi_amd64.dll	x86-64	81	0	0	45	145	11	25	0	2	0	0	0	0	183	0	195	0
shell32_aarch64.dll	AArch64 (ARM64)	1053	14	0	212	109	399	403	0	1	5	0	0	14	72	3	72	1
rpcrt4_aarch64.dll	AArch64 (ARM64)	86	2	0	59	65	181	154	0	0	0	1	0	2	31	1	32	0
ws2_32_amd64.dll	x86-64	84	1	0	37	153	13	25	1	1	0	0	0	1	173	0	178	0
sechost_x86.dll	x86	31	4	2	104	102	11	77	26	4	12	1	2	4	6	0	46	0
advapi32_amd64.dll	x86-64	96	1	0	40	201	26	23	1	1	0	0	0	1	206	0	226	0
ntdll_aarch64.dll	AArch64 (ARM64)	122	18	1	133	112	201	206	5	9	4	1	2	18	78	3	79	1
win32u_x86.dll	x86	3	1	0	1	2	1	0	4	0	0	0	0	1	0	0	0	0
gdi32full_aarch64.dll	AArch64 (ARM64)	92	6	0	59	47	75	77	3	0	3	0	0	6	20	3	20	0
ole32_x86.dll	x86	64	5	2	178	192	48	178	49	9	29	0	1	5	17	1	53	0
gdi32_amd64.dll	x86-64	37	0	0	16	72	4	4	1	0	0	0	0	0	72	0	72	0
advapi32_aarch64.dll	AArch64 (ARM64)	50	1	0	37	41	46	43	0	0	0	1	0	1	44	1	44	0
user32_amd64.dll	x86-64	118	0	0	58	206	29	29	1	0	0	0	0	0	242	0	256	0
win32u_amd64.dll	x86-64	2	0	0	0	0	1	0	0	0	0	0	0	0	4	0	4	0
user32_x86.dll	x86	56	12	3	330	134	50	123	32	25	138	1	18	12	6	0	106	0
